date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:54	478/478	---MCZ	200	added ('OK')	text/plain	etag:cacheable:a26645f8a87f79a732f3b7f7b50bc479	https://www.dovotech.com/robots.txt		(from )
13:51:54	89342/89342	---MCZ	200	added ('OK')	text/html	etag:cacheable:93787e19b57ca8063943cd6621d6cf69	https://www.dovotech.com/	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/www.dovotech.com/index.html	(from )
13:51:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:55%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/files/favicon-32x32_32x32.png?v=1641563530	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/files/favicon-32x32_32x32.0d827.delayed	(from https://www.dovotech.com/)
13:51:55	636/636	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2010:51:55%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/files/favicon-32x32_32x32.png?v=1641563530	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/files/favicon-32x32_32x32d827.png	(from https://www.dovotech.com/)
13:51:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:55%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/files/LOGO_SITE_1200x1200.png?v=1641232169	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/files/LOGO_SITE_1200x12001a31.png	(from https://www.dovotech.com/)
13:51:56	12724/12724	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2010:51:56%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/files/LOGO_SITE_1200x1200.png?v=1641232169	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/files/LOGO_SITE_1200x12001a31.png	(from https://www.dovotech.com/)
13:51:56	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Aug%202022%2008:35:24%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://www.dovotech.com/)
13:51:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:56%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.dovotech.com/)
13:51:56	10175/10175	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Aug%202022%2007:43:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-ab38017af3cf759db0af0bbd1e75229f6a189f5bf1f2db42169630998b969021.js	(from https://www.dovotech.com/)
13:51:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:57%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.dovotech.com/)
13:51:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:58%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.scss.css?v=129666761005754456321643529504	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.scss5aea.css	(from https://www.dovotech.com/)
13:51:57	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.dovotech.com/)
13:51:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:58%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/lazysizes.min.js?v=41644173127543473891643029599	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/lazysizes.minf0bc.js	(from https://www.dovotech.com/)
13:51:58	169784/169784	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2013:02:06%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.scss.css?v=129666761005754456321643529504	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.scss5aea.css	(from https://www.dovotech.com/)
13:51:58	22708/22708	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2013:02:06%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/lazysizes.min.js?v=41644173127543473891643029599	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/lazysizes.minf0bc.js	(from https://www.dovotech.com/)
13:51:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:59%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/vendor.min.js?v=85821191610609335681643029613	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/vendor.mindc30.js	(from https://www.dovotech.com/)
13:51:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:51:59%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.min.js?v=143434099123678971721643029611	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.minf4f1.js	(from https://www.dovotech.com/)
13:51:59	138718/138718	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2013:02:07%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/vendor.min.js?v=85821191610609335681643029613	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/vendor.mindc30.js	(from https://www.dovotech.com/)
13:52:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:52:00%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/custom.js?v=76302940387191003201643029596	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customeb14.js	(from https://www.dovotech.com/)
13:52:00	123884/123884	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2013:02:07%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.min.js?v=143434099123678971721643029611	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/theme.minf4f1.js	(from https://www.dovotech.com/)
13:52:01	678/678	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2013:02:07%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/custom.js?v=76302940387191003201643029596	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customeb14.js	(from https://www.dovotech.com/)
13:52:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:52:02%20GMT	http://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customized-styles.css?2349	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customized-styles70fc.css	(from https://www.dovotech.com/)
13:52:02	117/117	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2012%20Aug%202022%2010:52:02%20GMT	https://shopoe.net/app.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/shopoe.net/app.js	(from https://www.dovotech.com/)
13:52:02	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Aug%202022%2010:52:02%20GMT	https://cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customized-styles.css?2349	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/files/1/0620/6695/0393/t/6/assets/customized-styles70fc.css	(from https://www.dovotech.com/)
13:52:02	131245/131245	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Jul%202020%2011:24:46%20GMT	https://acdn.goldendev.win/shopify/add-to-cart/js/add-to-cart-script.js?shop=	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/acdn.goldendev.win/shopify/add-to-cart/js/add-to-cart-script58ed.js	(from https://www.dovotech.com/)
13:52:03	52812/52812	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:1ce07118f28d9c0dde47fbc667d21be9	https://www.dovotech.com/POST	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/www.dovotech.com/POST	(from https://www.dovotech.com/)
13:52:03	81909/81909	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Aug%202022%2023:16:19%20GMT	https://cdn.shopify.com/s/trekkie.storefront.40843249406b965149797f3a2828e03f7fbc07e2.min.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/s/trekkie.storefront.40843249406b965149797f3a2828e03f7fbc07e2.min.js	(from https://www.dovotech.com/)
13:52:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Aug%202022%2010:52:03%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://www.dovotech.com/)
13:52:05	8318/8318	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Aug%202022%2015:00:56%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	C:/Users/xbrey/Downloads/DOVOTECH_SITE/Dovotech/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-65cd0ba3fcd81a1df33f2510ec5bcf8c0e0958653b50e3965ec972dd638ee13f.js	(from https://www.dovotech.com/)
